id,time,score
1,1,63
2,1,60
3,1,61
4,1,57
5,1,58
6,1,58
7,1,53
8,1,58
9,1,58
10,1,57
11,1,60
12,1,57
13,1,65
14,1,65
15,1,63
16,1,59
17,1,55
18,1,61
19,1,61
20,1,57
21,1,59
22,1,60
23,1,60
24,1,62
25,1,64
26,1,58
27,1,59
28,1,57
29,1,59
30,1,62
31,1,60
32,1,65
33,1,63
34,1,56
35,1,57
36,1,60
37,1,67
38,1,65
39,1,64
40,1,66
41,1,64
42,1,61
43,1,56
44,1,59
45,1,60
1,2,64
2,2,61
3,2,67
4,2,61
5,2,61
6,2,62
7,2,55
8,2,62
9,2,60
10,2,59
11,2,59
12,2,64
13,2,66
14,2,66
15,2,65
16,2,58
17,2,59
18,2,64
19,2,61
20,2,57
21,2,65
22,2,58
23,2,63
24,2,61
25,2,63
26,2,62
27,2,66
28,2,58
29,2,57
30,2,63
31,2,59
32,2,63
33,2,58
34,2,57
35,2,57
36,2,60
37,2,68
38,2,66
39,2,70
40,2,66
41,2,66
42,2,57
43,2,59
44,2,57
45,2,62
1,3,68
2,3,69
3,3,70
4,3,68
5,3,68
6,3,71
7,3,70
8,3,68
9,3,70
10,3,66
11,3,69
12,3,71
13,3,69
14,3,68
15,3,70
16,3,67
17,3,68
18,3,69
19,3,68
20,3,68
21,3,68
22,3,69
23,3,70
24,3,67
25,3,69
26,3,70
27,3,70
28,3,68
29,3,70
30,3,69
31,3,69
32,3,70
33,3,67
34,3,70
35,3,69
36,3,70
37,3,70
38,3,68
39,3,69
40,3,71
41,3,69
42,3,68
43,3,69
44,3,68
45,3,69
